NAME,NAMELSAD,INTPTLAT,INTPTLON,STATE_NAME,COUNTYFP NOZERO
Allen,Allen County,40.7716274,-084.1061032,Ohio,3
Lake,Lake County,+41.9241163,-081.3926429,Ohio,85
Columbiana,Columbiana County,+40.7700730,-080.7784550,Ohio,29
Cuyahoga,Cuyahoga County,+41.7603919,-081.7242168,Ohio,35
Morgan,Morgan County,+39.6249458,-081.8616967,Ohio,115
Harrison,Harrison County,+40.2923175,-081.0915651,Ohio,67
Putnam,Putnam County,+41.0245334,-084.1298791,Ohio,137
Muskingum,Muskingum County,+39.9660457,-081.9435064,Ohio,119
Tuscarawas,Tuscarawas County,+40.4474903,-081.4711052,Ohio,157
Wyandot,Wyandot County,+40.8397816,-083.3136810,Ohio,175
Clark,Clark County,+39.9170315,-083.7836760,Ohio,23
Brown,Brown County,38.9313769,-083.8667723,Ohio,15
Belmont,Belmont County,+40.0176819,-080.9677268,Ohio,13
Medina,Medina County,+41.1161743,-081.8997641,Ohio,103
Preble,Preble County,+39.7388104,-084.6447584,Ohio,135
Butler,Butler County,+39.4397469,-084.5657341,Ohio,17
Pike,Pike County,+39.0713413,-083.0529107,Ohio,131
Ottawa,Ottawa County,+41.5454953,-083.0126127,Ohio,123
Hamilton,Hamilton County,+39.1969272,-084.5441868,Ohio,61
Coshocton,Coshocton County,+40.2967096,-081.9301092,Ohio,31
Logan,Logan County,+40.3875532,-083.7663430,Ohio,91
Lawrence,Lawrence County,+38.6038659,-082.5171856,Ohio,87
Pickaway,Pickaway County,+39.6489470,-083.0528267,Ohio,129
Jackson,Jackson County,+39.0134773,-082.6141420,Ohio,79
Athens,Athens County,+39.3326037,-082.0458439,Ohio,9
Stark,Stark County,+40.8141314,-081.3656673,Ohio,151
Auglaize,Auglaize County,+40.5613090,-084.2240177,Ohio,11
Fulton,Fulton County,+41.5972639,-084.1242667,Ohio,51
Van Wert,Van Wert County,+40.8555203,-084.5857751,Ohio,161
Washington,Washington County,+39.4506764,-081.4906359,Ohio,167
Wood,Wood County,+41.3601834,-083.6226821,Ohio,173
Fairfield,Fairfield County,+39.7476940,-082.6266850,Ohio,45
Paulding,Paulding County,+41.1189483,-084.5821249,Ohio,125
Darke,Darke County,+40.1315415,-084.6212484,Ohio,37
Noble,Noble County,+39.7672317,-081.4524930,Ohio,121
Union,Union County,+40.2959008,-083.3670416,Ohio,159
Henry,Henry County,+41.3315843,-084.0688996,Ohio,69
Champaign,Champaign County,+40.1327753,-083.7676037,Ohio,21
Delaware,Delaware County,+40.2789411,-083.0074622,Ohio,41
Mahoning,Mahoning County,+41.0108798,-080.7703956,Ohio,99
Carroll,Carroll County,+40.5798841,-081.0907870,Ohio,19
Meigs,Meigs County,+39.0898068,-082.0283968,Ohio,105
Vinton,Vinton County,+39.2520418,-082.4859614,Ohio,163
Lorain,Lorain County,+41.4388045,-082.1797220,Ohio,93
Franklin,Franklin County,+39.9698749,-083.0090858,Ohio,49
Hancock,Hancock County,+41.0004711,-083.6660335,Ohio,63
Crawford,Crawford County,+40.8485244,-082.9247827,Ohio,33
Highland,Highland County,+39.1844221,-083.6013590,Ohio,71
Huron,Huron County,+41.1450798,-082.5946410,Ohio,77
Geauga,Geauga County,+41.4993217,-081.1735054,Ohio,55
Hardin,Hardin County,+40.6604152,-083.6640773,Ohio,65
Williams,Williams County,+41.5649587,-084.5843235,Ohio,171
Summit,Summit County,+41.1218471,-081.5349279,Ohio,153
Adams,Adams County,+38.8344683,-083.4780816,Ohio,1
Guernsey,Guernsey County,+40.0566648,-081.4978750,Ohio,59
Morrow,Morrow County,+40.5252659,-082.7977288,Ohio,117
Erie,Erie County,+41.5540061,-082.5258973,Ohio,43
Clermont,Clermont County,+39.0520537,-084.1494847,Ohio,25
Licking,Licking County,+40.0915047,-082.4834352,Ohio,89
Scioto,Scioto County,+38.8148886,-082.9986750,Ohio,145
Defiance,Defiance County,+41.3216789,-084.4864334,Ohio,39
Seneca,Seneca County,+41.1199923,-083.1275469,Ohio,147
Mercer,Mercer County,+40.5353325,-084.6320588,Ohio,107
Portage,Portage County,+41.1689703,-081.1969618,Ohio,133
Lucas,Lucas County,+41.6823213,-083.4689033,Ohio,95
Sandusky,Sandusky County,+41.3553193,-083.1427763,Ohio,143
Montgomery,Montgomery County,+39.7537357,-084.2905915,Ohio,113
Ross,Ross County,+39.3238969,-083.0595362,Ohio,141
Richland,Richland County,+40.7741590,-082.5427812,Ohio,139
Perry,Perry County,+39.7431874,-082.2379525,Ohio,127
Gallia,Gallia County,+38.8170456,-082.3017463,Ohio,53
Trumbull,Trumbull County,+41.3063744,-080.7703998,Ohio,155
Hocking,Hocking County,+39.4903424,-082.4834473,Ohio,73
Miami,Miami County,+40.0533257,-084.2284135,Ohio,109
Ashland,Ashland County,+40.8432730,-082.2701271,Ohio,5
Shelby,Shelby County,+40.3366802,-084.2041425,Ohio,149
Madison,Madison County,+39.8966074,-083.4008847,Ohio,97
Jefferson,Jefferson County,+40.3993836,-080.7635272,Ohio,81
Fayette,Fayette County,+39.5552462,-083.4618927,Ohio,47
Wayne,Wayne County,+40.8296612,-081.8871942,Ohio,169
Clinton,Clinton County,+39.4302248,-083.7956823,Ohio,27
Monroe,Monroe County,+39.7262526,-081.0909834,Ohio,111
Ashtabula,Ashtabula County,+41.9066369,-080.7455916,Ohio,7
Holmes,Holmes County,+40.5655971,-081.9300012,Ohio,75
Warren,Warren County,+39.4256516,-084.1699063,Ohio,165
Knox,Knox County,+40.4036198,-082.4223929,Ohio,83
Greene,Greene County,+39.6874785,-083.8948943,Ohio,57
Marion,Marion County,+40.5880337,-083.1688034,Ohio,101
